;articleUrl;articleUrlNew;date_news;flag_tvr;foto;id_topic_pialadunia;image;image_infografik;judul;label_kanal;label_navbar;match_id;player_id;ringkasan;team_id;video
103;/kpk-bongkar-praktik-jual-beli-jabatan-bupati-cirebon-c8x3;kpk-bongkar-praktik-jual-beli-jabatan-bupati-cirebon-c8x3;2018-10-26 07:06:22;0;;;[{'url': '2017/09/14/AlexanderMarwata-tirto-mico.jpg', 'caption': 'Wakil Ketua KPK, Alexander Marwata. tirto.id/Andrey Gromico', 'id_files': 318722, 'nama_file': 'AlexanderMarwata-tirto-mico.jpg', 'flag_cover': 1}, {'url': '2017/09/14/AlexanderMarwata-tirto-mico.jpg', 'caption': 'Wakil Ketua KPK, Alexander Marwata. tirto.id/Andrey Gromico', 'id_files': 318723, 'nama_file': 'AlexanderMarwata-tirto-mico.jpg', 'flag_cover': 0}];False;KPK Bongkar Praktik Jual Beli Jabatan Bupati Cirebon;Hard News;Hukum;;;"Bupati&amp;nbsp;Cirebon Sunjaya Purwadi Sastra resmi ditetapkan KPK sebagai tersangka kasus suap.";;
104;/tak-ingin-membebek-barat-gairah-seni-rupa-indonesia-1930-an-c7uQ;tak-ingin-membebek-barat-gairah-seni-rupa-indonesia-1930-an-c7uQ;2018-10-26 07:00:00;0;;;[{'url': '2018/10/12/persagi--jakartatourismgoid.jpg', 'caption': 'Rapat tahunan Persatuan Ahli-ahli Gambar (Persagi). FOTO/jakarta-tourism.go.id ', 'id_files': 316764, 'nama_file': 'persagi--jakartatourismgoid.jpg', 'flag_cover': 1}, {'url': '2018/10/12/persagi--jakartatourismgoid.jpg', 'caption': 'Rapat tahunan Persatuan Ahli-ahli Gambar (Persagi). FOTO/jakarta-tourism.go.id ', 'id_files': 316765, 'nama_file': 'persagi--jakartatourismgoid.jpg', 'flag_cover': 0}];2018/10/17/gerakan-seni-rupa-1930an--mild--nadya.jpg;"&quot;Tak Ingin Membebek Barat&quot;: Gairah Seni Rupa Indonesia 1930-an";Mild Report;Humaniora;;;Pada 1930-an, pelukis-pelukis di Bandung dan Batavia berhimpun untuk menggugat aliran Hindia Molek alias Mooi Indie.;;
105;/usai-skandal-suap-meikarta-proyek-abu-abu-shenzhen-nya-indonesia-c8xZ;usai-skandal-suap-meikarta-proyek-abu-abu-039shenzhen-nya-indonesia039-c8xZ;2018-10-26 07:00:00;0;;;[{'url': '2018/10/21/suap-perizinan-proyek-meikarta--antarafoto_ratio-16x9.jpg', 'caption': 'Foto aerial pembangunan gedung-gedung apartemen di kawasan Meikarta, Cikarang, Kabupaten Bekasi, Jawa Barat, Selasa (16/10/2018). ANTARA FOTO/Hafidz Mubarak A', 'id_files': 323628, 'nama_file': 'suap-perizinan-proyek-meikarta--antarafoto_ratio-16x9.jpg', 'flag_cover': 1}, {'url': '2018/10/21/suap-perizinan-proyek-meikarta--antarafoto_ratio-16x9.jpg', 'caption': 'Foto aerial pembangunan gedung-gedung apartemen di kawasan Meikarta, Cikarang, Kabupaten Bekasi, Jawa Barat, Selasa (16/10/2018). ANTARA FOTO/Hafidz Mubarak A', 'id_files': 323629, 'nama_file': 'suap-perizinan-proyek-meikarta--antarafoto_ratio-16x9.jpg', 'flag_cover': 0}];2018/10/26/02-meikarta-pasca-suap--indepth--lugas_2.jpg;"Usai Skandal Suap Meikarta, Proyek Abu-Abu &#039;Shenzhen-nya Indonesia&#039;";Mild Report;Bisnis;;;"Proyek konstruksi Meikarta&amp;nbsp;tetap berjalan di lahan yang diklaim beres izinnnya. Di lahan tanpa izin, dihentikan.";;
106;/investasi-perusahaan-cangkang-di-balik-megaproyek-meikarta-c8vt;investasi-perusahaan-cangkang-di-balik-megaproyek-meikarta-c8vt;2018-10-26 06:00:00;0;;;[{'url': '2018/10/26/hl-meikarta--3-tirto.id-hadi-hermawan_ratio-16x9.jpg', 'caption': 'Seseorang berjalan ke arah proyek pembangunan beberapa apartemen Meikarta, Jumat (19/10/2018). tirto.id/Hadi Hermawan.', 'id_files': 317991, 'nama_file': 'hl-meikarta--3-tirto.id-hadi-hermawan_ratio-16x9.jpg', 'flag_cover': 1}, {'url': '2018/10/26/hl-meikarta--3-tirto.id-hadi-hermawan_ratio-16x9.jpg', 'caption': 'Seseorang berjalan ke arah proyek pembangunan beberapa apartemen Meikarta, Jumat (19/10/2018). tirto.id/Hadi Hermawan.', 'id_files': 317992, 'nama_file': 'hl-meikarta--3-tirto.id-hadi-hermawan_ratio-16x9.jpg', 'flag_cover': 0}];2018/10/26/01-meikarta-siapa-yang-punya--indepth--lugas_1.jpg;Investasi Perusahaan Cangkang di Balik Megaproyek Meikarta;Indepth;Bisnis;;;"Skema investasi Meikarta yang berbelit&amp;nbsp;diduga demi mengamankan Lippo bila megaproyek itu sewaktu-waktu tersandung perkara.";;
107;/menanti-anies-baswedan-menetapkan-upah-minimum-dki-c8vv;menanti-anies-baswedan-menetapkan-upah-minimum-dki-c8vv;2018-10-26 06:00:00;0;;;[{'url': '2017/11/21/buruh-tolak-upah-murah-antarafoto2.JPG', 'caption': 'Ratusan buruh dari berbagai aliansi pekerja Jabar melakukan unjuk rasa di depan Gedung Sate, Bandung, Jawa Barat, Selasa (21/11/2017). ANTARA FOTO/M Agung Rajasa', 'id_files': 317995, 'nama_file': 'buruh-tolak-upah-murah-antarafoto2.JPG', 'flag_cover': 1}, {'url': '2017/11/21/buruh-tolak-upah-murah-antarafoto2.JPG', 'caption': 'Ratusan buruh dari berbagai aliansi pekerja Jabar melakukan unjuk rasa di depan Gedung Sate, Bandung, Jawa Barat, Selasa (21/11/2017). ANTARA FOTO/M Agung Rajasa', 'id_files': 317996, 'nama_file': 'buruh-tolak-upah-murah-antarafoto2.JPG', 'flag_cover': 0}];False;Menanti Anies Baswedan Menetapkan Upah Minimum DKI;Current Issue;Ekonomi;;;"Tahun lalu Anies&amp;nbsp;Baswedan menetapkan Upah Minimum Provinsi yang lebih rendah dari keinginan para buruh. Apakah tahun ini akan terulang?";;
108;/sholat-maghrib-di-kota-gorontalo-dan-info-masjid-c8EM;sholat-maghrib-di-kota-gorontalo-dan-info-masjid-c8EM;2018-10-26 05:32:15;0;;;[{'url': '/2018/10/24/header-jadwal-salat-kota-gorontalo-tirto.id.jpg', 'caption': 'Info Masjid di Kota Gorontalo untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 322922, 'nama_file': 'header-jadwal-salat-kota-gorontalo-tirto.id.jpg', 'flag_cover': 1}, {'url': '/2018/10/24/header-jadwal-salat-kota-gorontalo-tirto.id.jpg', 'caption': 'Info Masjid di Kota Gorontalo untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 322923, 'nama_file': 'header-jadwal-salat-kota-gorontalo-tirto.id.jpg', 'flag_cover': 0}];False;Sholat Maghrib di Kota Gorontalo dan Info Masjid;;Sosial Budaya;;;Jadwal sholat dan informasi masjid ternama di Kota Gorontalo bisa diketahui di aplikasi Tirto.id;;
109;/jadwal-sholat-maghrib-dan-info-masjid-di-kota-tarakan-hari-ini-c8EN;jadwal-sholat-maghrib-dan-info-masjid-di-kota-tarakan-hari-ini-c8EN;2018-10-26 05:32:15;0;;;[{'url': '/2018/10/24/header-jadwal-salat-kota-tarakan-tirto.id.jpg', 'caption': 'Info Masjid di Kota Tarakan untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 322932, 'nama_file': 'header-jadwal-salat-kota-tarakan-tirto.id.jpg', 'flag_cover': 1}, {'url': '/2018/10/24/header-jadwal-salat-kota-tarakan-tirto.id.jpg', 'caption': 'Info Masjid di Kota Tarakan untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 322933, 'nama_file': 'header-jadwal-salat-kota-tarakan-tirto.id.jpg', 'flag_cover': 0}];False;Jadwal Sholat Maghrib dan Info Masjid di Kota Tarakan Hari Ini;;Sosial Budaya;;;Jadwal sholat dan informasi masjid ternama di Kota Tarakan bisa diketahui di aplikasi Tirto.id;;
110;/jadwal-sholat-maghrib-dan-info-masjid-di-kab-ngada-hari-ini-c8EQ;jadwal-sholat-maghrib-dan-info-masjid-di-kab-ngada-hari-ini-c8EQ;2018-10-26 05:32:15;0;;;[{'url': '/2018/10/25/jadwal-salat-kabupaten-ngada.jpg', 'caption': 'Info Masjid di Kab. Ngada untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 323046, 'nama_file': 'jadwal-salat-kabupaten-ngada.jpg', 'flag_cover': 1}, {'url': '/2018/10/25/jadwal-salat-kabupaten-ngada.jpg', 'caption': 'Info Masjid di Kab. Ngada untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 323047, 'nama_file': 'jadwal-salat-kabupaten-ngada.jpg', 'flag_cover': 0}];False;Jadwal Sholat Maghrib dan Info Masjid di Kab. Ngada Hari Ini;;Sosial Budaya;;;Jadwal sholat dan informasi masjid ternama di Kab. Ngada bisa diketahui di aplikasi Tirto.id;;
111;/jadwal-sholat-oktober-2018-di-kota-kediri-c8ER;jadwal-sholat-oktober-2018-di-kota-kediri-c8ER;2018-10-26 05:32:15;0;;;[{'url': '/2018/10/25/jadwal-salat-kota-kediri.jpg', 'caption': 'Ketahui saat Sholat Maghrib di Kota Kediri. Ilustrasi/Tirto.id', 'id_files': 323170, 'nama_file': 'jadwal-salat-kota-kediri.jpg', 'flag_cover': 1}, {'url': '/2018/10/25/jadwal-salat-kota-kediri.jpg', 'caption': 'Ketahui saat Sholat Maghrib di Kota Kediri. Ilustrasi/Tirto.id', 'id_files': 323171, 'nama_file': 'jadwal-salat-kota-kediri.jpg', 'flag_cover': 0}];False;Jadwal Sholat Oktober 2018 di Kota Kediri;;Sosial Budaya;;;Tirto.id menyediakan aplikasi mengenai informasi jadwal sholat di Kota Kediri.;;
112;/sholat-maghrib-di-kab-cianjur-dan-info-masjid-c8ET;sholat-maghrib-di-kab-cianjur-dan-info-masjid-c8ET;2018-10-26 05:32:15;0;;;[{'url': '/2018/10/25/jadwal-salat-kabupaten-cianjur.jpg', 'caption': 'Info Masjid di Kab. Cianjur untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 323274, 'nama_file': 'jadwal-salat-kabupaten-cianjur.jpg', 'flag_cover': 1}, {'url': '/2018/10/25/jadwal-salat-kabupaten-cianjur.jpg', 'caption': 'Info Masjid di Kab. Cianjur untuk Sholat Maghrib. Ilustrasi/Tirto.id', 'id_files': 323275, 'nama_file': 'jadwal-salat-kabupaten-cianjur.jpg', 'flag_cover': 0}];False;Sholat Maghrib di Kab. Cianjur dan Info Masjid;;Sosial Budaya;;;Jadwal sholat dan informasi masjid ternama di Kab. Cianjur bisa diketahui di aplikasi Tirto.id;;
